infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
crucificar,Indicativo,Pretérito anterior,hube crucificado,hubiste crucificado,hubo crucificado,hubimos crucificado,hubisteis crucificado,hubieron crucificado,crucificando,crucificado
crucificar,Indicativo,Condicional perfecto,habría crucificado,habrías crucificado,habría crucificado,habríamos crucificado,habríais crucificado,habrían crucificado,crucificando,crucificado
crucificar,Subjuntivo,Presente,crucifique,crucifiques,crucifique,crucifiquemos,crucifiquéis,crucifiquen,crucificando,crucificado
crucificar,Subjuntivo,Imperfecto,crucificara,crucificaras,crucificara,crucificáramos,crucificarais,crucificaran,crucificando,crucificado
crucificar,Subjuntivo,Futuro,crucificare,crucificares,crucificare,crucificáremos,crucificareis,crucificaren,crucificando,crucificado
crucificar,Subjuntivo,Presente perfecto,haya crucificado,hayas crucificado,haya crucificado,hayamos crucificado,hayáis crucificado,hayan crucificado,crucificando,crucificado
crucificar,Subjuntivo,Futuro perfecto,hubiere crucificado,hubieres crucificado,hubiere crucificado,hubiéremos crucificado,hubiereis crucificado,hubieren crucificado,crucificando,crucificado
crucificar,Subjuntivo,Pluscuamperfecto,hubiera crucificado,hubieras crucificado,hubiera crucificado,hubiéramos crucificado,hubierais crucificado,hubieran crucificado,crucificando,crucificado
crucificar,Imperativo Afirmativo,Presente,,crucifica,crucificad,,crucifique,crucifiquen,crucificando,crucificado
crucificar,Imperativo Negativo,Presente,,no crucifiques,no crucifiquéis,,no crucifique,no crucifiquen,crucificando,crucificado
cruzar,Indicativo,Presente,cruzo,cruzas,cruza,cruzamos,cruzáis,cruzan,cruzando,cruzado
cruzar,Indicativo,Futuro,cruzaré,cruzarás,cruzará,cruzaremos,cruzaréis,cruzarán,cruzando,cruzado
cruzar,Indicativo,Imperfecto,cruzaba,cruzabas,cruzaba,cruzábamos,cruzabais,cruzaban,cruzando,cruzado
cruzar,Indicativo,Pretérito,crucé,cruzaste,cruzó,cruzamos,cruzasteis,cruzaron,cruzando,cruzado
